ID,X_Ori,Y_Ori,X_Des,Y_Des,Weight
1,3816301,2960916,3754932,2951344,1
2,3743411,2850885,3733212,2937035,1
3,3835133,2885356,3793528,2937411,1
4,3832924,2927165,3681735,2916898,1
5,3735031,2943613,3722147,2912358,1
6,3703020,2931564,3686783,2858061,1
7,3687063,2946879,3854418,2877905,1
8,3732042,2904156,3824220,2956003,1
9,3769059,2940705,3698598,2909726,1
10,3712260,2976538,3831610,2904672,1
11,3693132,2942595,3695787,2942894,1
12,3759851,2826128,3732407,2975130,1
13,3756041,2939897,3807968,2810711,1
14,3807535,2893806,3781041,2920389,1
15,3733577,2898205,3716370,2830368,1
16,3802204,2941103,3669231,2904645,1
17,3825065,2883056,3778501,2900473,1
18,3816846,2931023,3833767,2934490,1
19,3802488,2929594,3674008,2854639,1
20,3694891,2939513,3736471,2876361,1
21,3748279,2830882,3683667,2908752,1
22,3773597,2921372,3770773,2790935,1
23,3828574,2824183,3734237,2945558,1
24,3685796,2944719,3760386,2872210,1
25,3696809,2954172,3710471,2926660,1
26,3716876,2920198,3690245,2940009,1
27,3777039,2971854,3768892,2954892,1
28,3715036,2974326,3731336,2948255,1
29,3739089,2863724,3767488,2851095,1
30,3733836,2842216,3673734,2916692,1
31,3782825,2957063,3786376,2832972,1
32,3700659,2880704,3724725,2938422,1
33,3774458,2893040,3769747,2830783,1
34,3676450,2929608,3803647,2959051,1
35,3816301,2960916,3754932,2951344,1
36,3762571,2979085,3667230,2914361,1
37,3731396,2892698,3734898,2861977,1
38,3806489,2953549,3719103,2803759,1
39,3683016,2876172,3817476,2944581,1
40,3713422,2871196,3808156,2866260,1
41,3718003,2811243,3837199,2943814,1
42,3701077,2967809,3805686,2962636,1
43,3730208,2796051,3832390,2875601,1
44,3676021,2867018,3831454,2941225,1
45,3797040,2920020,3810261,2869564,1
46,3802779,2822888,3771775,2796257,1
47,3732082,2921347,3783766,2832884,1
48,3851500,2870780,3703419,2958873,1
49,3822574,2926646,3724661,2920210,1
50,3837395,2869515,3806620,2828402,1
51,3708957,2956539,3803208,2959131,1
52,3669991,2931603,3737765,2800576,1
53,3691382,2920451,3785213,2950563,1
54,3713779,2906816,3694218,2843227,1
55,3779511,2975080,3681381,2916767,1
56,3775157,2967293,3804400,2821605,1
57,3703782,2949810,3697825,2855406,1
58,3757557,2906700,3742933,2938813,1
59,3722735,2951294,3781670,2879288,1
60,3752308,2833495,3722197,2922573,1
61,3795591,2797581,3790783,2883774,1
62,3766652,2798146,3718756,2946964,1
63,3748035,2930288,3771226,2863763,1
64,3830503,2836880,3761210,2836545,1
65,3724387,2832882,3777583,2792037,1
66,3798893,2834973,3773191,2907272,1
67,3770304,2857469,3769865,2874387,1
68,3775678,2986625,3790604,2824240,1
69,3812730,2823601,3676874,2868175,1
70,3763846,2862317,3717057,2837017,1
71,3818831,2819918,3697160,2945779,1
72,3834959,2941057,3731360,2944973,1
73,3701532,2858693,3791407,2911939,1
74,3746773,2961620,3806796,2896018,1
75,3749262,2826877,3750281,2843103,1
76,3745718,2859028,3769067,2972365,1
77,3777105,2905374,3701247,2898480,1
78,3800247,2838848,3833773,2920122,1
79,3720697,2888552,3739315,2805806,1
80,3751204,2984607,3744075,2923763,1
81,3674016,2927503,3712469,2972017,1
82,3824347,2876632,3842662,2911061,1
83,3796039,2867094,3798744,2971438,1
84,3747768,2952996,3803946,2974578,1
85,3745348,2859325,3744105,2839223,1
86,3815673,2946303,3696745,2879329,1
87,3810076,2950522,3771011,2899012,1
88,3714133,2815575,3817136,2870571,1
89,3814214,2916322,3672041,2883666,1
90,3733718,2851056,3798897,2951751,1
91,3691484,2896608,3731527,2957435,1
92,3793394,2970916,3806648,2913212,1
93,3813389,2940831,3786455,2885205,1
94,3697887,2931340,3752991,2798111,1
95,3741152,2847582,3714858,2822395,1
96,3746656,2795250,3737271,2966087,1
97,3764193,2968947,3682808,2888193,1
98,3729336,2817325,3759435,2848451,1
99,3857201,2886400,3804633,2950473,1
100,3830447,2920053,3714260,2811869,1
101,3791862,2796296,3737589,2889107,1
102,3785532,2915162,3813538,2832323,1
103,3688699,2917151,3803701,2950523,1
104,3730581,2848693,3759778,2791915,1
105,3835812,2932107,3760156,2827823,1
106,3741654,2827701,3842509,2866901,1
107,3680402,2871962,3793327,2909013,1
108,3763058,2905521,3686635,2905897,1
109,3804013,2913169,3760481,2899835,1
110,3774272,2871386,3773856,2875329,1
111,3736332,2955666,3764222,2986134,1
112,3817251,2948007,3698941,2906183,1
113,3723276,2860638,3731860,2886052,1
114,3767916,2910160,3669141,2881015,1
115,3817520,2841599,3694923,2878272,1
116,3758394,2952973,3755036,2926684,1
117,3667362,2901008,3825716,2842679,1
118,3715515,2838082,3749904,2848228,1
119,3675705,2857889,3783349,2903335,1
120,3751441,2971053,3733354,2898939,1
121,3761949,2798597,3797141,2860968,1
122,3705853,2813893,3729266,2813874,1
123,3774094,2890450,3746381,2911578,1
124,3686036,2881943,3803837,2819747,1
125,3736249,2862787,3750277,2969260,1
126,3735562,2954699,3800400,2931135,1
127,3668608,2891652,3773616,2894552,1
128,3755558,2794162,3774432,2943289,1
129,3814840,2885914,3678264,2924138,1
130,3790599,2958618,3797469,2883777,1
131,3798518,2803962,3813038,2889770,1
132,3761041,2935003,3811893,2912162,1
133,3747766,2949034,3734352,2970394,1
134,3771670,2902045,3743464,2863434,1
135,3753921,2873737,3829128,2911705,1
136,3679730,2858528,3801902,2918849,1
137,3776017,2908165,3753657,2949370,1
138,3766002,2984620,3803779,2850702,1
139,3666407,2893318,3714650,2932363,1
140,3837863,2829648,3669674,2858981,1
141,3758329,2914718,3829223,2951776,1
142,3767708,2968054,3760214,2975234,1
143,3709322,2956226,3795032,2802153,1
144,3751817,2842949,3764447,2950436,1
145,3849791,2922315,3823278,2878773,1
146,3748561,2892615,3723471,2895420,1
147,3730493,2882293,3759197,2797706,1
148,3806566,2905024,3668409,2879517,1
149,3684443,2887200,3696402,2819228,1
150,3848906,2847784,3736331,2846621,1
151,3756623,2829067,3726390,2878057,1
152,3742153,2952923,3682830,2879542,1
153,3755188,2896406,3687634,2897820,1
154,3744681,2853666,3829995,2887525,1
155,3762306,2901321,3832723,2894637,1
156,3774159,2795744,3832178,2867081,1
157,3745297,2894900,3725020,2799380,1
158,3822874,2961002,3822210,2943545,1
159,3703220,2845686,3768825,2862750,1
160,3682582,2841178,3797382,2815790,1
161,3732236,2910734,3813163,2934912,1
162,3730691,2860340,3811812,2904183,1
163,3796996,2903662,3852510,2916207,1
164,3846145,2932299,3687827,2903048,1
165,3791251,2813747,3788378,2840068,1
166,3818131,2929535,3812802,2846329,1
167,3766172,2855494,3718809,2877712,1
168,3774033,2801276,3727475,2853477,1
169,3742308,2833072,3690792,2879505,1
170,3848253,2897263,3680536,2946500,1
171,3758222,2846004,3804350,2908441,1
172,3695354,2936211,3830207,2832204,1
173,3847229,2912235,3769317,2908910,1
174,3822076,2825716,3746734,2865125,1
175,3769737,2903378,3743845,2902745,1
176,3721492,2803023,3698698,2913611,1
177,3846630,2908458,3830120,2919957,1
178,3810106,2922667,3844865,2907039,1
179,3819638,2906836,3699955,2884238,1
180,3795651,2912184,3690371,2926202,1
181,3727410,2978029,3707345,2907503,1
182,3785895,2837746,3724161,2936647,1
183,3750103,2830566,3776773,2812807,1
184,3709198,2951157,3722674,2958010,1
185,3675026,2922282,3766886,2792932,1
186,3750534,2856889,3805582,2876002,1
187,3722738,2832339,3847899,2873691,1
188,3804117,2892078,3735656,2976843,1
189,3713018,2964836,3708010,2939464,1
190,3746979,2883451,3751780,2806548,1
191,3793583,2866494,3779114,2971533,1
192,3703263,2901092,3759008,2940688,1
193,3719607,2892021,3769052,2970362,1
194,3794924,2818423,3809271,2973306,1
195,3709502,2871044,3749633,2803680,1
196,3750028,2965565,3772151,2925031,1
197,3806532,2872463,3734484,2906482,1
198,3841011,2939042,3730621,2931144,1
199,3732206,2847901,3758450,2825655,1
200,3817727,2902355,3838759,2907377,1
201,3759015,2931174,3791709,2841094,1
202,3774583,2887997,3801916,2902455,1
203,3832497,2911979,3759172,2855774,1
204,3785054,2907182,3745838,2945232,1
205,3687780,2827197,3698228,2853745,1
206,3729617,2968918,3816657,2838215,1
207,3740508,2942838,3696766,2836177,1
208,3663351,2908680,3791423,2925474,1
209,3757534,2822456,3714197,2884389,1
210,3692041,2957898,3738588,2826170,1
211,3676005,2849086,3722439,2972920,1
212,3677727,2920096,3735995,2876342,1
213,3752540,2921760,3777290,2972230,1
214,3800485,2855718,3804148,2834171,1
215,3834244,2939767,3772109,2903403,1
216,3780482,2867116,3721255,2948374,1
217,3750039,2839307,3740664,2978330,1
218,3792530,2943978,3674050,2916365,1
219,3816106,2935915,3693567,2866575,1
220,3715576,2975780,3828608,2917727,1
221,3775579,2891146,3732133,2983156,1
222,3665758,2887104,3742101,2812280,1
223,3697621,2852613,3766141,2871098,1
224,3807490,2848834,3691986,2870971,1
225,3712981,2882584,3792143,2958973,1
226,3747736,2846906,3808390,2941648,1
227,3751980,2855498,3809152,2908917,1
228,3788966,2877423,3733584,2980839,1
229,3819164,2829627,3825391,2926606,1
230,3797306,2838221,3828050,2945340,1
231,3748974,2926661,3667828,2912247,1
232,3811630,2957108,3793991,2836674,1
233,3772876,2944769,3666585,2902479,1
234,3682071,2922848,3808720,2916001,1
235,3675643,2886564,3790876,2803877,1
236,3808144,2867748,3761123,2971193,1
237,3689947,2850489,3753518,2876151,1
238,3753172,2806221,3671870,2879802,1
239,3762611,2941024,3822305,2845607,1
240,3706551,2893295,3774318,2968950,1
241,3725789,2961279,3780499,2933239,1
242,3690905,2846043,3665252,2881344,1
243,3805629,2859640,3762679,2836225,1
244,3762340,2921136,3825737,2855319,1
245,3703740,2808794,3799013,2862243,1
246,3789117,2855487,3807621,2858397,1
247,3772389,2820619,3792983,2829849,1
248,3714323,2906049,3799292,2953722,1
249,3677014,2865841,3716976,2886311,1
250,3748992,2978345,3764970,2895980,1
251,3768249,2979282,3761862,2949104,1
252,3677267,2943957,3856734,2904575,1
253,3679830,2927022,3773453,2799880,1
254,3774690,2920051,3719195,2846499,1
255,3726241,2978770,3741963,2804450,1
256,3740287,2866824,3838351,2883287,1
257,3820059,2925062,3765212,2983164,1
258,3790761,2847343,3737795,2840924,1
259,3743060,2929813,3824267,2930043,1
260,3838426,2843896,3818361,2814283,1
261,3780878,2964903,3685795,2900641,1
262,3812844,2904982,3794068,2820810,1
263,3785303,2804876,3726245,2893032,1
264,3810692,2810950,3717291,2944757,1
265,3835023,2832102,3800357,2919352,1
266,3825069,2917468,3715061,2962976,1
267,3763126,2849119,3714632,2866409,1
268,3771357,2917215,3811273,2901569,1
269,3685473,2833488,3786036,2904857,1
270,3750785,2899425,3784625,2827765,1
271,3663407,2902160,3828149,2880276,1
272,3808591,2835941,3825377,2844868,1
273,3835704,2881357,3838963,2871133,1
274,3845184,2889328,3743053,2948369,1
275,3773045,2942602,3804335,2936443,1
276,3710714,2973004,3767688,2811773,1
277,3699848,2868077,3765517,2899485,1
278,3726984,2822655,3711050,2829905,1
279,3756601,2937424,3745552,2840017,1
280,3685949,2877074,3781393,2958947,1
281,3797027,2948250,3737440,2855700,1
282,3834080,2952861,3671495,2864235,1
283,3694329,2818248,3757423,2925684,1
284,3762888,2915414,3762055,2860255,1
285,3690745,2845361,3757811,2963400,1
286,3759830,2953127,3739584,2838513,1
287,3754550,2849405,3672629,2910298,1
288,3804459,2954906,3793256,2961311,1
289,3704230,2949101,3810999,2968051,1
290,3716545,2957565,3830569,2916143,1
291,3786109,2896832,3755449,2930165,1
292,3832809,2832093,3731731,2798731,1
293,3812031,2914473,3744828,2890498,1
294,3697647,2878673,3816886,2963880,1
295,3714053,2950932,3833791,2853580,1
296,3807579,2806671,3800066,2945632,1
297,3804314,2903306,3809112,2844752,1
298,3829109,2839238,3801821,2946299,1
299,3795063,2939947,3804129,2805251,1
300,3736741,2892152,3804490,2853194,1
301,3700291,2924994,3852648,2889780,1
302,3799407,2876993,3773888,2936543,1
303,3806444,2899078,3766453,2872171,1
304,3804172,2890855,3715376,2949682,1
305,3740034,2901467,3836786,2931865,1
306,3772025,2825202,3788630,2926149,1
307,3715724,2959719,3703388,2868215,1
308,3715750,2899913,3698705,2923028,1
309,3733899,2885046,3819311,2839517,1
310,3819090,2945838,3781934,2898374,1
311,3754206,2813985,3821324,2954228,1
312,3852074,2925946,3857802,2874465,1
313,3777369,2793373,3712131,2959787,1
314,3726862,2952456,3842794,2895782,1
315,3740288,2903232,3744799,2904145,1
316,3819628,2898994,3739050,2850320,1
317,3831786,2949023,3718019,2814329,1
318,3687969,2918251,3794186,2968739,1
319,3672958,2919614,3794648,2821273,1
320,3685364,2845033,3690587,2947471,1
321,3699295,2898375,3770945,2857939,1
322,3710691,2934230,3730019,2849259,1
323,3766743,2885066,3771516,2914338,1
324,3803027,2802996,3764259,2865033,1
325,3772437,2804478,3707541,2924531,1
326,3713275,2843172,3721480,2799565,1
327,3768833,2947765,3707138,2896670,1
328,3769960,2890298,3693408,2844013,1
329,3817676,2903020,3806714,2811088,1
330,3807897,2968416,3712383,2818781,1
331,3690098,2949001,3780949,2880138,1
332,3781181,2851126,3827953,2891295,1
333,3690830,2894733,3826980,2953170,1
334,3737711,2903778,3801137,2955709,1
335,3724818,2932084,3795061,2831530,1
336,3691190,2848639,3807699,2939381,1
337,3810196,2905100,3724897,2976985,1
338,3688865,2847197,3754961,2847073,1
339,3710009,2930471,3724789,2857134,1
340,3694061,2826314,3698608,2966166,1
341,3772572,2887158,3661928,2886524,1
342,3817825,2881665,3827074,2905606,1
343,3817232,2970314,3787208,2955453,1
344,3733047,2873126,3764835,2894068,1
345,3788877,2821305,3672571,2854820,1
346,3765164,2887747,3768491,2849532,1
347,3715950,2841062,3765174,2816180,1
348,3722490,2930169,3743496,2907360,1
349,3826496,2915677,3752049,2980661,1
350,3787225,2910814,3840835,2854464,1
351,3833638,2903488,3815612,2854357,1
352,3824934,2949667,3716138,2805844,1
353,3684954,2928252,3831668,2843016,1
354,3754153,2825333,3713701,2891674,1
355,3784702,2795997,3818982,2827671,1
356,3831128,2826761,3760707,2925053,1
357,3745501,2803583,3710892,2885528,1
358,3817826,2835659,3715476,2828034,1
359,3709788,2893814,3801734,2811983,1
360,3850454,2877392,3805266,2912851,1
361,3734706,2828152,3813022,2930358,1
362,3837621,2880513,3741197,2895092,1
363,3738724,2806661,3767324,2843217,1
364,3727847,2953408,3774772,2918518,1
365,3852154,2874543,3760302,2966844,1
366,3810935,2833250,3815625,2917690,1
367,3721441,2913207,3733743,2855369,1
368,3700690,2916122,3765354,2912731,1
369,3677846,2946009,3808852,2940094,1
370,3698506,2825133,3671195,2917953,1
371,3773037,2927302,3741071,2904713,1
372,3734617,2800039,3768355,2821035,1
373,3719389,2895284,3721649,2925983,1
374,3811176,2890836,3813530,2841487,1
375,3730882,2963600,3688518,2899782,1
376,3694404,2889728,3837715,2894716,1
377,3803795,2938038,3761276,2900663,1
378,3669001,2872664,3843338,2876385,1
379,3823946,2915169,3784215,2838071,1
380,3834533,2951566,3723523,2970019,1
381,3841218,2912488,3674913,2894167,1
382,3670003,2900192,3719309,2946600,1
383,3720367,2815555,3667727,2902792,1
384,3715999,2827629,3838448,2939809,1
385,3805408,2905594,3735765,2973659,1
386,3679949,2863748,3788096,2973812,1
387,3779479,2959179,3734778,2954375,1
388,3783525,2829095,3782190,2832667,1
389,3802862,2969403,3741680,2931220,1
390,3825166,2882793,3785266,2960007,1
